dt,imoex,rtsi
01.08.2022,2180.09,1138.79
02.08.2022,2137.3,1116.12
03.08.2022,2123.92,1105.99
04.08.2022,2116.58,1104.77
05.08.2022,2054.29,1072.31
08.08.2022,2088.4,1083.52
09.08.2022,2136.8,1116.28
10.08.2022,2151.5,1118.4
11.08.2022,2133.11,1106.29
12.08.2022,2147.33,1116.32
15.08.2022,2165.12,1112.93
16.08.2022,2208.33,1142.05
17.08.2022,2188.56,1136.4
18.08.2022,2194.31,1162.3
19.08.2022,2195.16,1170.57
22.08.2022,2228.11,1173.79
23.08.2022,2260.08,1190.16
24.08.2022,2248.22,1182.39
25.08.2022,2246.34,1182.71
26.08.2022,2268.89,1183.12
29.08.2022,2296.33,1197.99
30.08.2022,2306.62,1212.1
31.08.2022,2400.08,1258.45
01.09.2022,2445.77,1279.45
02.09.2022,2471.45,1284.53
05.09.2022,2488.44,1287.78
06.09.2022,2425.33,1252.47
07.09.2022,2401.57,1243.7
08.09.2022,2390.27,1237.75
09.09.2022,2426.06,1262.72
12.09.2022,2449.65,1280.67
13.09.2022,2446.89,1284.1
14.09.2022,2435.89,1282.8
15.09.2022,2446.59,1288.03
16.09.2022,2435.18,1275.03
19.09.2022,2430.54,1272.66
20.09.2022,2215.67,1154.17
21.09.2022,2130.71,1106.82
22.09.2022,2190.87,1174.61
23.09.2022,2089.87,1141.81
26.09.2022,1933.35,1043.44
27.09.2022,1953.46,1053.46
28.09.2022,1963.86,1074.57
29.09.2022,1953.77,1072.26
30.09.2022,1957.31,1055.72
03.10.2022,2041.96,1091.87
04.10.2022,2046.42,1100.14
05.10.2022,2029.88,1061.97
06.10.2022,2020.63,1044.82
07.10.2022,1944.75,1005.04
10.10.2022,1916.97,963.88
11.10.2022,1949.46,964.67
12.10.2022,1969.95,975.16
