ticker,open,close,high,low,value,dt
imoex,2213.75,2180.09,2220.73,2178.98,34423779174,01.08.2022
imoex,2176.57,2137.3,2178.81,2137.3,27914278332,02.08.2022
imoex,2138.76,2123.92,2156.54,2123.92,26449883090,03.08.2022
imoex,2126.39,2116.58,2137.83,2111.87,22594862838,04.08.2022
imoex,2120.13,2054.29,2124.6,2052.08,36874314129,05.08.2022
imoex,2106.5,2088.4,2119.41,2086.98,27924176472,08.08.2022
imoex,2090.37,2136.8,2136.8,2071.72,26431314966,09.08.2022
imoex,2138.81,2151.5,2158.87,2128.59,27194863629,10.08.2022
imoex,2157.17,2133.11,2174.9,2128.38,29583573203,11.08.2022
imoex,2133.93,2147.33,2150.9,2117.08,21718566669,12.08.2022
imoex,2147.76,2165.12,2165.75,2139.45,22639885748,15.08.2022
imoex,2172.4,2208.33,2208.33,2168.06,27547482468,16.08.2022
imoex,2213.43,2188.56,2225.05,2186.86,28031808792,17.08.2022
imoex,2188.42,2194.31,2197.92,2176.02,19293588498,18.08.2022
imoex,2199.6,2195.16,2199.6,2179.56,19380590930,19.08.2022
imoex,2193.29,2228.11,2231.22,2187.04,25478090147,22.08.2022
imoex,2230.74,2260.08,2261.59,2230.74,34167923074,23.08.2022
imoex,2263.57,2248.22,2273.65,2243.08,25211293918,24.08.2022
imoex,2249.39,2246.34,2266.18,2234.87,24487294444,25.08.2022
imoex,2248.98,2268.89,2268.89,2239.66,18051564449,26.08.2022
imoex,2267.43,2296.33,2296.33,2263.99,26880489296,29.08.2022
imoex,2299.28,2306.62,2314.53,2292.44,50550921071,30.08.2022
imoex,2377.02,2400.08,2423.12,2368.42,1.02137E+11,31.08.2022
imoex,2401.98,2445.77,2448.5,2380.01,56992336462,01.09.2022
imoex,2443.76,2471.45,2474.71,2431.54,63579147654,02.09.2022
imoex,2472.1,2488.44,2488.44,2440.88,45685735670,05.09.2022
imoex,2487.76,2425.33,2492.15,2382.24,64403078065,06.09.2022
imoex,2422.88,2401.57,2436.64,2394.56,39183921360,07.09.2022
imoex,2397.59,2390.27,2407.39,2378.3,33722794765,08.09.2022
imoex,2391.69,2426.06,2426.81,2391.69,30026659926,09.09.2022
imoex,2419.77,2449.65,2465.22,2413.55,35740888613,12.09.2022
imoex,2459.75,2446.89,2465.55,2438.8,28825213668,13.09.2022
imoex,2439.96,2435.89,2439.96,2400.14,34390158478,14.09.2022
imoex,2434.79,2446.59,2457.02,2418.3,35982254564,15.09.2022
